Country,Iron_Preg_Low,Iron_Preg_Base,Iron_Preg_High,Iron_WRA_Low,Iron_WRA_Base,Iron_WRA_High,Antimalarial_Low,Antimalarial_Base,Antimalarial_High,Fortification_Low,Fortification_Base,Fortification_High,WTP_Opp_Lower,WTP_Opp_Upper,WTP_HCFI_Lower,WTP_HCFI_Upper
Bahamas,28.61,80.33,109.66,16.31,48.85,72.66,35.44,70.87,77.41,0.68,1.26,2.66,12583.3,14785.4,31458.3,72354.1
Bahrain,22.07,67.05,97.23,13.82,38.83,74.27,22.07,44.16,51.28,2.12,3.22,5.86,8742.6,10250,30146.9,69337.9
Bangladesh,1.88,3.75,8.05,2.11,3.25,10.7,1.07,2.02,3.53,0.11,0.74,2.26,215.1,457,2688.3,6183.1
Barbados,21.51,66.29,95.38,11.42,39,57.37,22.18,44.35,49.35,0.99,1.55,2.88,9309.8,10928.9,20238.8,46549.2
Belarus,44.52,89,102.91,18.77,37.55,60.76,80.23,160.31,178.3,0.49,1.09,2.53,3155.3,4338.5,7888.3,18143
Belgium,36.28,95.27,129.27,21.51,58.84,86.69,49.93,99.82,111.58,0.74,1.32,2.71,40440.7,47430.5,49926.8,114831.7
Belize,5.1,10.15,15.1,3.19,5.38,14.16,7.09,14.05,16.65,1.12,1.66,2.97,2863.5,3981,6984.2,16063.7
Benin,1.83,3.78,7.82,1.77,2.76,9.52,1.03,2.01,3.3,0.1,0.57,1.8,104.2,208.5,1302.9,2996.6
Bhutan,2.74,5.38,9.77,2.1,3.29,10.78,2.82,5.52,7.23,0.11,0.7,2.16,498.4,961.3,3560.2,8188.5
Bolivia,3.22,6.51,11.12,2.01,4.07,9.67,3.59,7.05,9.24,0.1,0.58,1.83,972,1908.1,3600.1,8280.3
Bosnia and Herzegovina,5.72,11.38,18.65,3.89,7.8,16.43,7.1,14.05,18.88,1.82,2.31,3.46,4995.4,6887.6,7568.8,17408.2
Botswana,5.54,11.44,15.95,3.48,7.1,13.86,7.99,15.93,18.51,1.76,2.25,3.42,3792.1,5185,7738.9,17799.4
Brazil,2.4,4.8,9.48,1.65,3.32,8.64,2.06,4,6.19,0.99,1.55,2.88,6242.4,8471.8,8917.7,20510.7
Brunei Darussalam,26.42,75.41,106.55,14.98,45.87,67.5,32.02,64.01,72.67,0.25,0.88,2.37,5572.9,6687.4,37152.5,85450.7
